sample_id,haplotype,species
TIA_UB_15M_CB_371,Haplotype 10,tuhaniensis
E2B_B_15M_CB_077,Haplotype 10,tuhaniensis
E2B_UB_15M_CB_061,Haplotype 10,tuhaniensis
E2B_B_5M_CB_113,Haplotype 3b,verrucosa
E2B_B_15M_CB_087,Haplotype 3b,verrucosa
E2B_B_15M_CB_080,Haplotype 3b,verrucosa
E2B_B_15M_CB_078,Haplotype X,effusa
E2B_B_5M_CB_108,Haplotype X,effusa
TIA_B_15M_CB_376,"Haplotype 2, Haplotype x",effusa
E2B_UB_5M_CB_091,"Haplotype 1d, 1e, 1a",meandrina
TIA_UB_5M_CB_394,"Haplotype 1d, 1e, 1a",meandrina
E2B_UB_15M_CB_068,Haplotype 8a,meandrina
